id	HR	HR.95L	HR.95H	pvalue
PIM2	0.795602543896264	0.670255025370506	0.944391886512605	0.00894758816345104
PREX1	0.754055768347207	0.618248323357116	0.919695339714264	0.00533271800202738
CIITA	0.812228582679814	0.707930304098587	0.931892965596493	0.00301808490146006
MOXD1	0.864441301314044	0.763657837984727	0.978525625284635	0.0212681680315662
PARM1	0.753214510454237	0.636460104001074	0.891386742377585	0.000974020808776588
ARHGAP4	0.769715541730835	0.658517357608917	0.899690810479512	0.00100987736198384
ARHGAP30	0.754067165785158	0.620308539456187	0.916668487288209	0.00460673218460741
CXCL13	0.87991133051683	0.785563613905328	0.985590391238774	0.0270508965364673
VEGFC	1.24233268637891	1.09820210443753	1.4053792989551	0.000563074986722154
MPEG1	0.818196482102059	0.705213893597498	0.949280054465678	0.00813315678475279
SLAMF7	0.87962677375613	0.761738408920447	1.01575980946685	0.0806414869944789
MYLIP	0.769458075508491	0.630628017369578	0.938850976578562	0.00983668105347837
MFAP4	0.838519393904258	0.7379642242555	0.952776233377581	0.00688844599950284
ARHGAP26	0.734805839650167	0.595029366280972	0.907416763913176	0.00420400249738564
NCKAP1L	0.843207920124307	0.723097731376632	0.983269018430967	0.0296178621758649
IL2RB	0.858886807275001	0.734000868552941	1.00502135530898	0.057763887623561
INPP5D	0.742642563952613	0.620540512624869	0.888770300364767	0.00116789335347994
CSF2RB	0.730332177368731	0.619159488185099	0.861466390289242	0.00019161488495256
EPHB6	0.837836294421815	0.732184291656164	0.958733565101017	0.0100895757959256
DOCK8	0.732456900619746	0.608899711218366	0.881086164734746	0.000956489835231196
SLITRK6	1.12854822509695	1.020583516031	1.24793422229916	0.0184190993111328
FERMT3	0.865172675203614	0.72857425529904	1.02738156402706	0.0985640749234476
EPHX3	0.856991339116384	0.784699286439944	0.935943447396906	0.000598556727366757
MZB1	0.851400363567063	0.768018433576152	0.943834870872604	0.00221950609022363
IL10RA	0.781324551917141	0.664312015994966	0.918947784670429	0.00287214358599872
CYP27A1	0.843874225246008	0.732284890752403	0.972468115930758	0.0189885710088067
MYO1F	0.807056576466619	0.669412406635651	0.973003056354364	0.0246514621786695
CELF2	0.718431268931039	0.602371219881725	0.85685283616174	0.000234642860578233
CD3E	0.770660093794519	0.66224872175493	0.896818613093767	0.000757585269065265
RASSF2	0.686932104872809	0.573468605196357	0.822844899318275	4.56473629612182e-05
CYP7B1	0.760546626994239	0.654883480177741	0.883258151015389	0.000335076184933337
ITGAL	0.79488136771029	0.688549681663262	0.917633695228375	0.00172954345896166
IKZF3	0.789361939779076	0.695899520363032	0.89537678032417	0.000234408412129292
DKK1	1.31999617192381	1.18250636111086	1.47347189934496	7.53341381275898e-07
DOCK2	0.811276065973256	0.693844564155353	0.948582563332841	0.00875084913369798
SCNN1B	0.88697013457016	0.794756586982467	0.989882981160827	0.0322324276086699
KDM5D	0.841434824512896	0.778313422962037	0.909675386566707	1.42887621147076e-05
POU2AF1	0.819761904176177	0.721686891583277	0.931165007118612	0.00223592935873895
CCL19	0.874751201081037	0.783991811164188	0.976017418672332	0.016652017559445
SLA	0.804745196832541	0.6723508407817	0.963209670522766	0.0178509440565624
CD2	0.795178368779616	0.686179703870792	0.921491315770651	0.00231179023327755
CCNA1	1.14637013413994	1.0469951244154	1.25517727236963	0.00315094299867086
CD79A	0.781121804542877	0.696650774563	0.875835204396435	2.33253184163891e-05
DOCK10	0.779017662470289	0.646582119838683	0.938579184020867	0.00862131727194997
GATM	0.855880349510418	0.741371769468218	0.988075352806481	0.0336980281541587
CD8A	0.838982765995428	0.733837611378618	0.95919324755647	0.0101759622155011
BCL2	0.684152105655974	0.56217536176518	0.832594481202136	0.000151500270365566
LDLRAD4	0.804191703329974	0.673129956269009	0.960771823749156	0.0163567396126363
IKZF1	0.765515649545124	0.656069568846589	0.893219618048651	0.000687534817155998
IRF8	0.812198716958001	0.696714509857227	0.946825057459195	0.00785496924955591
SASH3	0.780818147150087	0.666373691589066	0.914917540434452	0.00221635229032662
CD37	0.805678380285274	0.67940688018054	0.955418132189964	0.0129793871544661
